                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
97,0.90352,1.1086,1.3006,0.7959,0.79915,0.85645,0.7022,0.67035,0.66238,1.1464,0.0079351,0.0079351,0.0079351
98,0.90217,1.1073,1.298,0.79517,0.79984,0.85693,0.7029,0.67004,0.66102,1.1461,0.007921,0.007921,0.007921
99,0.90396,1.1163,1.2913,0.79529,0.80074,0.85767,0.70376,0.66892,0.65859,1.1448,0.0078927,0.0078927,0.0078927
100,0.9026,1.1119,1.2965,0.796,0.79982,0.85821,0.70434,0.66834,0.65758,1.1443,0.0078786,0.0078786,0.0078786
101,0.89995,1.1021,1.293,0.80202,0.79523,0.8588,0.70475,0.66783,0.6562,1.1437,0.0078644,0.0078644,0.0078644
102,0.8987,1.1002,1.2953,0.80565,0.79489,0.85916,0.70502,0.6673,0.65506,1.1431,0.0078503,0.0078503,0.0078503
103,0.89844,1.1043,1.2892,0.80576,0.79601,0.85954,0.70551,0.66656,0.65391,1.1423,0.0078361,0.0078361,0.0078361
104,0.90367,1.1042,1.2942,0.80212,0.79904,0.86061,0.70716,0.66541,0.65175,1.141,0.0078079,0.0078079,0.0078079
105,0.89915,1.0934,1.2924,0.80354,0.79935,0.86101,0.7077,0.66488,0.65048,1.1404,0.0077937,0.0077937,0.0077937
106,0.89564,1.0923,1.2853,0.8059,0.7996,0.86224,0.7094,0.66316,0.647,1.1385,0.0077513,0.0077513,0.0077513
107,0.88719,1.0822,1.2814,0.80245,0.8022,0.8625,0.70985,0.6627,0.64596,1.138,0.0077371,0.0077371,0.0077371
108,0.88872,1.0891,1.2802,0.8031,0.80254,0.86294,0.71055,0.6622,0.64485,1.1374,0.007723,0.007723,0.007723
109,0.88833,1.0876,1.28,0.80394,0.80445,0.86391,0.71154,0.66107,0.64283,1.1362,0.0076947,0.0076947,0.0076947
110,0.89469,1.0841,1.2856,0.80525,0.80527,0.86465,0.71226,0.66053,0.64161,1.1356,0.0076806,0.0076806,0.0076806
111,0.89019,1.0812,1.2836,0.80837,0.80353,0.86483,0.71293,0.66012,0.64057,1.1351,0.0076664,0.0076664,0.0076664
112,0.88575,1.0642,1.2747,0.80928,0.80458,0.86573,0.71381,0.65918,0.63841,1.1339,0.0076381,0.0076381,0.0076381
113,0.89496,1.081,1.2832,0.80848,0.80516,0.86616,0.71432,0.65859,0.63736,1.1332,0.007624,0.007624,0.007624
114,0.88742,1.0775,1.276,0.80702,0.8061,0.86655,0.71508,0.65795,0.63609,1.1325,0.0076099,0.0076099,0.0076099
115,0.88364,1.0593,1.2733,0.80684,0.80768,0.86737,0.71615,0.65689,0.63413,1.1313,0.0075816,0.0075816,0.0075816
116,0.8888,1.0555,1.2717,0.80778,0.80779,0.86793,0.7165,0.6564,0.63305,1.1307,0.0075674,0.0075674,0.0075674
117,0.88671,1.0551,1.2743,0.80823,0.80925,0.86831,0.71701,0.65553,0.63197,1.1299,0.0075533,0.0075533,0.0075533
118,0.88153,1.0502,1.2727,0.80938,0.81054,0.86906,0.71768,0.65449,0.63008,1.1288,0.007525,0.007525,0.007525
119,0.88627,1.0591,1.2715,0.81011,0.81106,0.86951,0.71802,0.65393,0.62873,1.1282,0.0075109,0.0075109,0.0075109
120,0.88417,1.0545,1.2645,0.81098,0.81146,0.86986,0.71863,0.65334,0.62759,1.1276,0.0074967,0.0074967,0.0074967
121,0.88756,1.0581,1.2729,0.81187,0.81193,0.87029,0.71912,0.65279,0.62634,1.127,0.0074826,0.0074826,0.0074826
122,0.88407,1.0554,1.2669,0.81332,0.81176,0.87062,0.71942,0.65216,0.62513,1.1264,0.0074684,0.0074684,0.0074684
